Source,Type,vW (GHz s),L (Jy kpc^2)
2223052,BLAZAR,485687181.0288816,7477851200000001.0
AO0235+164,BLAZAR,83754745.3994544,1296020840000000.0
AO0235+164,BLAZAR,102534435.2525616,1749733160000000.0
BL_Lacertae,BLAZAR,277771687.2334512,5356326000000.0
3C279,BLAZAR,1004031231.8789232,2499618800000000.0
NGC7213,AGN,39062006.9212896,1703521720.0
CTA102,BLAZAR,990518082.2285904,2982738400000000.0
3C273,BLAZAR,593228217.5043695,339376210411317.56
CTA102,BLAZAR,1444461459.9626591,2562634400000000.0
AO0235+164,BLAZAR,54982005.4205424,1728727960000000.0
S40954+65,BLAZAR,161094397.77450722,56714040000000.0
1730130,BLAZAR,615088374.1035696,3509071269566818.0
3C454.3,BLAZAR,566050566.9219264,5923466400000000.0
458020,BLAZAR,436903543.22706723,1.42625308e+16
1803+784,BLAZAR,1065148895.2408705,665864840000000.0
CTA102,BLAZAR,1794499857.9354239,2457608400000000.0
PKS2004447,AGN,23192113.27591699,10184339393939.396
NRAO150,BLAZAR,2272412855.334096,3.0667592e+16
Swift1644,TDE,47844704.594592,246330080920.0
B0605085,QSO,1708184377.9421422,1121935965363162.8
3C120,BLAZAR,1775838970.8684144,1369724361616.7476
3C273,BLAZAR,2275945781.9138203,289098253313345.3
3C454.3,BLAZAR,971533615.2879745,5251300000000000.0
AO0235+164,BLAZAR,80844751.29768479,1749733160000000.0
AO0235+164,BLAZAR,277800856.398288,1254010440000000.0
BL_Lacertae,BLAZAR,107489216.6170992,4558128400000.0
AO0235+164,BLAZAR,250577895.27098882,1167889120000000.0
2223052,BLAZAR,1078562007.2039042,8276048800000000.0
NGC7213,AGN,76269103.3138752,2050107520.0
3C120,BLAZAR,335963544.222528,1084276360906.5623
2223052,BLAZAR,1602636039.500544,7582877200000001.0
AO0235+164,BLAZAR,79796949.27396479,1728727960000000.0
B0605085,QSO,910482882.6056688,1075972108309172.1
NGC4278,AGN,1758518741.0471325,1531722499.772
3C273,BLAZAR,496022405.51577604,305857572346003.44
S40954+65,BLAZAR,204813001.2259008,48942116000000.0
3C454.3,BLAZAR,472345483.983552,6091508000000000.0
NRAO530,BLAZAR,526489874.9415935,2752624768342842.0
3C279,BLAZAR,1629353097.7887025,1491369200000000.0
458020,BLAZAR,469433877.95633763,1.6678128800000002e+16
S40954+65,BLAZAR,175969155.21403682,68056848000000.0
BL_Lacertae,BLAZAR,248606279.81765276,3696915200000.0005
IIIzw2,AGN,391344492.53968126,3938475000000.0
3C345,BLAZAR,1432507033.2116306,1808547720000000.2
3C120,BLAZAR,638781299.9140464,1393156660182.506
1237+049,BLAZAR,216602214.22667518,964025146833393.8
850121,QSO,124915866.31388159,164103125000000.0
0851+202,BLAZAR,107630224.44150527,59602255000000.0
1237+049,BLAZAR,110147750.56901376,1055306973669810.4
1622297,QSO,27502196.48262144,777192400000000.0
2200+420,BLAZAR,222635113.0363008,6222790500000.001
2200+420,BLAZAR,155484261.70251265,6564125000000.0
1622297,QSO,17122918.93696512,1085706275000000.0
336019,BLAZAR,1110314553.979392,959675075000000.0
0954+658,BLAZAR,145873003.41098496,18510832500000.0
2200+420,BLAZAR,142676900.7333581,4883709000000.0
0851+202,BLAZAR,87483230.50857985,69711007500000.01
0851+202,BLAZAR,93216309.71862528,111064995000000.02
1749+096,BLAZAR,85676162.63355649,114609622500000.02
1413+135,BLAZAR,387746258.6320128,31113952500000.0
336019,BLAZAR,361535652.28046596,951798125000000.0
2005+403,QSO,221775457.65062398,6419714250000000.0
1237+049,BLAZAR,181618651.37786114,1075344447853415.0
0954+658,BLAZAR,95448299.67067392,40828857500000.01
1328+254,QSO,796096770.8396775,1522877000000000.0
1237+049,BLAZAR,61971439.1995008,1026363955404607.0
0528+134_1,BLAZAR,664536395.6263527,1.311512175e+16
2200+420,BLAZAR,164459634.54287615,5960225500000.0
1413+135,BLAZAR,957723868.4064306,26125217500000.0
1237+049,BLAZAR,193339920.710592,1157720730608234.0
3C279,BLAZAR,511738930.95183355,2599393500000000.0
1237+049,BLAZAR,168256627.89760512,901686338262182.6
2005+403,QSO,554006015.5614797,5526993250000000.0
0851+202,BLAZAR,232950076.2771379,82182845000000.0
1622297,QSO,134953388.22816,833643875000000.0
2005+403,QSO,317411017.5152563,6091508000000000.0
